#dP2026  9  3  0  0  0.00000000     289 d     IGc20 FIT AIUB
## 2434 345600.00000000   300.00000000 61286 0.0000000000000
%c M  cc GPS ccc cccc cccc cccc cccc ccccc ccccc ccccc ccccc
%c cc cc ccc ccc cccc cccc cccc cccc ccccc ccccc ccccc ccccc
/* Center for Orbit Determination in Europe (CODE)                              
/* Rapid GNSS orbits and clocks for year-day 2026-246                           
/* Middle day of a 3-day long-arc GRE solution                                  
/* Product reference - DOI 10.48620/97772                                       
/* PCV:IGS20_2425 OL/AL:FES2014b NONE     YN ORB:CoN CLK:CoN                    
*  2026  9  3  0  0  0.00000000
PG19 -16302.513052   6140.665685 -19915.599451    704.934347
PG20 -10787.358115  21848.316691  10643.383088    276.564044
PG21 -15947.370633   5097.913854  20631.207940    370.954980
PG22 -20911.916897  -6443.955042 -14514.509333     72.405021
PG23  21014.055712  16499.226615   -493.800370    685.366977
PG24  -6845.562632  18469.630566 -18229.908748    190.078418
PG27  12504.004695 -18778.764256  13297.576304      0.452525
PG30 -23570.569858   -946.296648  12657.281412    351.032955
*  2026  9  3  0 25  0.00000000
PG01   3669.853286 -16348.791903 -20595.763905    181.629065
PG02  11058.754285 -17738.063113 -15648.468483    168.888451
PG03  -7039.226562 -19763.645587 -16556.014174    289.124387
PG05  -5944.313052  13685.164734  21797.909909   -236.482973
PG06 -25389.378872   4474.826849  -6652.742782   -534.070431
PG07 -13537.757169 -10690.877291  20921.840456   -221.192159
PG08   5346.990359 -25416.595329   3930.060197    357.074282
PG09  -8608.595856 -19386.674924  15821.356710    687.421477
PG10  22497.067980  10003.838303 -10130.640488   -540.191295
PG12   4231.495081  20152.695836 -17055.376746   -602.932696
PG13   3484.856772  18733.943341 -18564.370173    437.205776
PG15  -1325.187678  26310.339780   2770.080613    441.604144
PG17 -13896.425126  -6720.404150 -21222.901497   -196.428411
PG19 -16145.810051   5386.762927 -20275.632253    704.934378
PG20 -10800.200200  21424.149521  11465.045843    276.566804
PG21 -16523.666946   4573.373207  20299.060663    370.952636
PG22 -21259.047282  -6889.241169 -13794.042769     72.408004
PG23  20986.282792  16540.152998    471.766130    685.368041
PG24  -7458.092502  18716.010401 -17704.154254    190.083626
PG27  12511.575178 -18227.097097  14031.035420      0.453188
PG30 -23148.100446  -1197.334711  13398.645751    351.036637
*  2026  9  3  0 30  0.00000000
PG01   4420.671296 -16559.107781 -20274.982933    181.626335
PG02  11635.596479 -17951.048123 -14970.011394    168.890525
PG03  -6532.427405 -19392.328478 -17196.020680    289.118169
PG05  -6635.437209  13202.275678  21895.839622   -236.482984
PG06 -25153.882560   4328.809806  -7567.279010   -534.067208
PG07 -12843.062030 -10994.239649  21198.391239   -221.193100
PG08   5445.907101 -25229.692454   4858.269105    357.071176
PG09  -8484.171985 -19972.958867  15147.148892    687.418850
PG10  22765.114328  10272.033683  -9259.605945   -540.189192
PG12   3718.236454  19759.429740 -17635.250469   -602.932487
PG13   2881.376878  18353.054034 -19044.711694    437.207238
PG15  -1431.082016  26170.066848   3701.500843    441.605129
PG17 -13716.929798  -7533.916772 -21060.201164   -196.429646
PG19 -15998.925514   4618.380204 -20596.464629    704.934555
PG20 -10816.820924  20970.001919  12264.832984    276.569529
PG21 -17098.822208   4067.470134  19928.099624    370.950288
PG22 -21593.179104  -7309.273907 -13046.255500     72.410486
PG23  20930.429996  16559.734909   1436.446190    685.369085
PG24  -8049.531874  18962.891771 -17145.483316    190.088793
PG27  12524.870096 -17648.188870  14736.457987      0.452888
PG30 -22704.799993  -1465.650508  14114.962938    351.040329
*  2026  9  3  0 35  0.00000000
PG01   5155.737229 -16778.117559 -19915.337249    181.623609
PG02  12185.301804 -18161.095801 -14261.385058    168.892415
PG03  -6000.138370 -19016.599378 -17803.725201    289.111950
PG05  -7337.712309  12730.501273  21951.160829   -236.483015
PG06 -24889.357012   4165.692408  -8467.425628   -534.063994
PG07 -12145.027992 -11313.553431  21436.798135   -221.194268
PG08   5545.557940 -25009.245080   5776.856564    357.068090
PG09  -8372.518908 -20535.308013  14443.622666    687.416227
PG10  23012.010010  10514.378698  -8370.992848   -540.187075
PG12   3182.473855  19361.519125 -18182.054237   -602.932114
PG13   2257.135207  17972.852919 -19488.778247    437.208713
PG15  -1541.760167  25996.427061   4625.759527    441.606061
PG17 -13552.278327  -8343.605588 -20855.683672   -196.431095
PG19 -15862.718989   3837.097315 -20877.536508    704.934557
PG20 -10838.493838  20486.723992  13041.222976    276.572284
PG21 -17671.185093   3580.844431  19519.037310    370.947930
PG22 -21912.724002  -7704.032374 -12272.640098     72.412988
PG23  20845.680709  16559.201239   2398.427355    685.370174
PG24  -8619.040579  19208.918798 -16554.868025    190.093991
PG27  12545.028845 -17043.184186  15412.425729      0.453011
PG30 -22242.061343  -1751.752518  14804.899543    351.044038
*  2026  9  3  0 40  0.00000000
PG01   5873.633733 -17004.777806 -19517.506643    181.620884
PG02  12707.185306 -18366.677548 -13524.014964    168.894734
PG03  -5442.951571 -18638.099759 -18377.998358    289.105749
PG05  -8049.596548  12270.988266  21963.766325   -236.483809
PG06 -24596.930649   3984.458040  -9351.464654   -534.060769
PG07 -11445.261378 -11648.501522  21636.620213   -221.195095
PG08   5647.248109 -24755.622599   6683.998313    357.065007
PG09  -8272.724886 -21072.370373  13712.144123    687.413623
PG10  23236.348907  10731.513729  -7466.510502   -540.184957
PG12   2624.790370  18960.516613 -18694.786044   -602.932172
PG13   1613.084456  17594.776983 -19895.731712    437.210211
PG15  -1658.506212  25789.799600   5541.048773    441.606919
PG17 -13402.498160  -9147.592683 -20609.736238   -196.432278
PG19 -15737.963814   3044.544071 -21118.366785    704.934642
PG20 -10866.445858  19975.261584  13792.739333    276.575052
PG21 -18239.082554   3114.035345  19072.658811    370.945549
PG22 -22216.120408  -8073.604271 -11474.740527     72.415933
PG23  20731.312462  16539.841667   3355.903213    685.371249
PG24  -9165.863518  19452.697879 -15933.342653    190.099198
PG27  12573.130408 -16413.319467  16057.581051      0.453031
PG30 -21761.322479  -2056.062628  15467.170758    351.047743
*  2026  9  3  0 45  0.00000000
PG01   6573.014713 -17237.973470 -19082.244562    181.618238
PG02  13200.674492 -18566.247844 -12759.387595    168.896681
PG03  -4861.564100 -18258.444961 -18917.773092    289.099525
PG05  -8769.486233  11824.797298  21933.633332   -236.484969
PG06 -24277.814280   3784.167230 -10217.707211   -534.057537
PG07 -10745.353331 -11998.673459  21797.481358   -221.195922
PG08   5752.261775 -24469.304672   7577.892041    357.061914
PG09  -8183.803751 -21582.873503  12954.133565    687.411006
PG10  23436.787314  10924.175840  -6547.893188   -540.182823
PG12   2045.865443  18557.949024 -19172.507649   -602.931881
PG13    950.266877  17220.215871 -20264.804563    437.211692
PG15  -1782.575539  25550.669876   6445.570409    441.607643
PG17 -13267.514548  -9944.009620 -20322.831730   -196.433614
PG19 -15625.343941   2242.393911 -21318.553794    704.934610
PG20 -10901.851388  19436.652717  14517.953361    276.577813
PG21 -18800.826641   2667.480020  18589.820302    370.943172
PG22 -22501.840638  -8418.184481 -10654.148683     72.418763
PG23  20586.700423  16503.000609   4307.076597    685.372343
PG24  -9689.333381  19692.803458 -15282.002397    190.104401
PG27  12610.187816 -15759.918048  16670.630144      0.452957
PG30 -21264.060771  -2378.913636  16100.542582    351.051412
*  2026  9  3  0 50  0.00000000
PG01   7252.610330 -17476.522722 -18610.376733    181.615483
PG02  13665.311106 -18758.251714 -11969.046982    168.898825
PG03  -4256.775819 -17879.217441 -19422.046467    289.093328
PG05  -9495.722125  11392.898699  21860.823533   -236.485011
PG06 -23933.296005   3563.962543 -11064.496727   -534.054324
PG07 -10046.874095 -12363.566532  21919.070930   -221.196860
PG08   5861.855379 -24150.879442   8456.761360    357.058848
PG09  -8104.699932 -22065.629528  12171.062636    687.408397
PG10  23612.049664  11093.194601  -5616.896844   -540.180727
PG12   1446.472707  18155.311120 -19614.346047   -602.931464
PG13    269.810608  16850.506071 -20595.301245    437.213182
PG15  -1915.188333  25279.628037   7337.539742    441.608501
PG17 -13147.151170 -10731.005093 -19995.527756   -196.435281
PG19 -15525.451185   1432.357371 -21477.775607    704.934798
PG20 -10945.826698  18872.023677  15215.486820    276.580585
PG21 -19354.721391   2241.512381  18071.447396    370.940851
PG22 -22768.397836  -8738.073179  -9812.500831     72.421177
PG23  20411.320494  16450.070962   5250.162756    685.373414
PG24 -10188.873015  19927.783999 -14602.002000    190.109594
PG27  12657.142937 -15084.384860  17250.345940      0.452837
PG30 -20751.787073  -2720.547133  16703.833934    351.055114
*  2026  9  3  0 55  0.00000000
PG01   7911.231688 -17719.182108 -18102.799645    181.612758
PG02  14100.752367 -18941.132257 -11154.591083    168.900905
PG03  -3629.486740 -17501.960182 -19889.881354    289.087096
PG05 -10226.596030  10976.168700  21745.482922   -236.484784
PG06 -23564.735808   3323.073128 -11890.212100   -534.051103
PG07  -9351.367361 -12742.587250  22001.144366   -221.197845
PG08   5977.251083 -23801.041280   9318.859735    357.055752
PG09  -8034.293784 -22519.539805  11364.451342    687.405782
PG10  23760.933955  11239.487557  -4675.295737   -540.178678
PG12    827.477436  17754.059511 -20019.494829   -602.931377
PG13   -427.074357  16486.925362 -20886.599424    437.214669
PG15  -2057.523179  24977.367023   8215.189359    441.609560
PG17 -13041.131247 -11506.752523 -19628.465537   -196.436504
PG19 -15438.782913    616.175411 -21595.790172    704.934862
PG20 -10999.424557  18282.584716  15884.014482    276.583331
PG21 -19899.069774   1836.362481  17518.533369    370.938499
PG22 -23014.352733  -9033.673457  -8951.473949     72.423611
PG23  20204.752005  16382.487668   6183.392509    685.374470
PG24 -10663.997458  20156.168127 -13894.554242    190.114807
PG27  12714.861614 -14388.200749  17795.570891      0.452843
PG30 -20226.039710  -3081.111752  17275.918676    351.058805
*  2026  9  3  1  0  0.00000000
PG01   8547.775169 -17964.651995 -17560.478889    181.610002
PG02  14506.771648 -19113.338191 -10317.668038    168.903028
PG03  -2980.693993 -17128.170281 -20320.408023    289.080877
PG05 -10960.357630  10575.386081  21587.841471   -236.484853
PG06 -23173.559850   3060.818905 -12693.270794   -534.047898
PG07  -8660.344723 -13135.053154  22043.523717   -221.198875
PG08   6099.630395 -23420.588034  10162.474337    357.052657
PG09  -7971.407220 -22943.599213  10535.864983    687.403177
PG10  23882.316862  11364.055344  -3724.879147   -540.176595
PG12    189.833619  17355.606755 -20387.215434   -602.931032
PG13  -1139.100546  16130.687524 -21138.151088    437.216143
PG15  -2210.710808  24644.680148   9076.772945    441.610607
PG17 -12949.079149 -12269.457547 -19222.368570   -196.437734
PG19 -15365.740165   -204.387334 -21672.435284    704.934929
PG20 -11063.629155  17669.625432  16522.266587    276.586077
PG21 -20432.180659   1452.156288  16932.137252    370.936133
PG22 -23238.320186  -9305.488487  -8072.781997     72.426367
PG23  19966.679992  16301.721113   7105.015364    685.375561
PG24 -11114.315598  20376.470917 -13160.928309    190.119997
PG27  12784.129180 -13672.916433  18305.219559      0.452564
PG30 -19688.378368  -3460.661811  17815.727555    351.062477
*  2026  9  3  1  5  0.00000000
PG01   9161.226412 -18211.582275 -16984.447361    181.607298
PG02  14883.258606 -19273.331390  -9459.972281    168.905249
PG03  -2311.488392 -16759.292761 -20712.825604    289.074692
PG05 -11695.221498  10191.229279  21388.212623   -236.484273
PG06 -22761.254490   2776.614371 -13472.131888   -534.044680
PG07  -7975.280242 -13540.194985  22046.098118   -221.200133
PG08   6230.127972 -23010.417818  10985.929829    357.049569
PG09  -7914.809593 -23336.900028   9686.910993    687.400574
PG10  23975.158510  11467.976500  -2767.448050   -540.174504
PG12   -465.419313  16961.315653 -20716.838286   -602.930859
PG13  -1864.907724  15782.937341 -21349.483528    437.217628
PG15  -2375.828016  24282.458247   9920.569119    441.611304
PG17 -12870.522482 -13017.365373 -18778.041079   -196.439095
PG19 -15306.626223  -1027.549392 -21707.628409    704.935341
PG20 -11139.351334  17034.509812  17129.031195    276.588827
PG21 -20952.375768   1088.915934  16313.381804    370.933807
PG22 -23438.975472  -9554.118226  -7178.172109     72.429206
PG23  19696.897050  16209.270400   8013.302604    685.376636
PG24 -11539.531465  20587.200308 -12402.448028    190.125198
PG27  12865.646372 -12940.146156  18778.281033      0.452410
PG30 -19140.377912  -3859.156345  18322.250052    351.066170
*  2026  9  3  1 10  0.00000000
PG01   9750.663904 -18458.578321 -16375.803331    181.604521
PG02  15230.218753 -19419.594359  -8583.240540    168.907271
PG03  -1623.050628 -16396.714605 -21066.403448    289.068470
PG05 -12429.374287   9824.273944  21146.992595   -236.484402
PG06 -22329.360059   2469.972005 -14225.299043   -534.041469
PG07  -7297.605148 -13957.159197  22008.824193   -221.201004
PG08   6369.825659 -22571.525346  11787.592053    357.046469
PG09  -7863.223828 -23698.635403   8819.235698    687.397928
PG10  24038.506905  11552.401973  -1804.811830   -540.172394
PG12  -1137.160121  16572.493782 -21007.763824   -602.930731
