#dP2026  9  5  0  0  0.00000000     289 d+D   IGc20 FIT AIUB
## 2434 518400.00000000   300.00000000 61288 0.0000000000000
%c M  cc GPS ccc cccc cccc cccc cccc ccccc ccccc ccccc ccccc
%c cc cc ccc ccc cccc cccc cccc cccc ccccc ccccc ccccc ccccc
/* Center for Orbit Determination in Europe (CODE)                              
/* Final GNSS orbits and clocks for year-day 2026-2480                          
/* Middle day of a 3-day long-arc GRE solution                                  
/* Product reference - DOI 10.48620/97773                                       
/* PCV:IGS20_2425 OL/AL:FES2014b NONE     YN ORB:CoN CLK:CoN                    
*  2026  9  5  0  0  0.00000000
PG17 -13784.606006  -7226.157901 -21126.209109   -197.229447
PG18  14598.641793   9270.651694  20304.660216   -263.865885
PG19 -16050.036693   4866.545919 -20493.325364    704.953265
PG20 -10817.465923  21127.512928  11989.412358    278.138998
PG21 -16900.624491   4235.334692  20061.644997    369.589399
PG22 -21471.038322  -7146.974569 -13331.574771     73.931422
PG24  -7823.271877  18872.514537 -17360.402503    193.066669
PG25  15371.644617  19803.251142  -9540.673148    391.609054
PG26  21318.435075   -720.851426  15820.058034   -391.767757
PG28  24439.581530  -3153.763857  -9939.270361   -423.080388
PG29   5785.474293  21462.223323  14380.003039   -249.179601
PG30 -22863.221909  -1372.997200  13864.856595    353.164988
PG31  25083.769168  -9198.541268   -487.667090   -122.961154
*  2026  9  5  0 25  0.00000000
PG04    -15.260107 -25830.324072   5778.970817     64.725483
PG05  -7115.811645  12878.882443  21937.730795   -236.534441
PG06 -24993.888938   4246.836100  -8116.634240   -532.205644
PG07 -12425.183546 -11178.876827  21348.171283   -221.766737
PG09  -8410.805408 -20332.827974  14704.298197    685.907231
PG11 -23449.076251  11814.762177   3736.337930   -220.079443
PG13   2444.891777  18098.770697 -19348.065492    438.050513
PG14 -23006.838862 -12343.586539  -5623.383169    749.979103
PG15  -1478.199537  26070.572955   4260.682057    442.122864
PG17 -13614.577877  -8037.512640 -20937.308570   -197.230899
PG18  13889.201359   9577.464251  20649.297938   -263.863240
